00:06:40		Applause	audience
00:16:01		Applause	audience
00:18:19		Applause	audience
00:19:18		Audience laughter	audience
00:22:08		Audience laughter	audience
00:26:45		Applause	audience
00:31:02		Audience groans	audience
00:31:15		Audience laughter and groans	audience
00:31:55		Applause	audience
00:42:48		Audience laughter	audience
00:43:50		Audience laughter	audience
00:45:13		Applause	audience
00:47:16		Audience question relating to prevalence of poetry readings in the period	audience
00:51:26		Audience laughter and groans	audience
00:54:10		Audience member asking question of poets' impressions of impending fascism and their impressions of the people around them	audience
00:57:57		Audience member asking question about the poets' educational backgrounds	audience
